z6-15979,Port 3,Port 3,Port 7,Port 7,Port 8,Port 8
Records: 1352,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
6/7/2024 18:15,0,0,100,7848,86.02,18.6
6/7/2024 18:30,0,0,100,7850,86.04,18.5
6/7/2024 18:45,0,0,100,7850,86.05,18.3
6/7/2024 19:00,0,0,100,7849,86.04,18.2
6/7/2024 19:15,0,0,100,7849,86.04,18.2
6/7/2024 19:30,0,0,100,7848,86.06,18.2
6/7/2024 19:45,0,0,100,7852,86.09,18.3
6/7/2024 20:00,0,0,100,7850,86.1,18.4
6/7/2024 20:15,0,0,100,7847,86.12,18.5
6/7/2024 20:30,0,0,100,7850,86.14,18.5
6/7/2024 20:45,0,0,100,7851,86.15,18.6
6/7/2024 21:00,0,0,100,7849,86.16,18.6
6/7/2024 21:15,0,0,100,7847,86.16,18.7
6/7/2024 21:30,0,0,100,7849,86.16,18.7
6/7/2024 21:45,0,0,100,7848,86.14,18.7
6/7/2024 22:00,0,0,100,7849,86.13,18.7
6/7/2024 22:15,0,0,100,7850,86.11,18.7
6/7/2024 22:30,0,0,100,7850,86.1,18.7
6/7/2024 22:45,0,0,100,7847,86.11,18.7
6/7/2024 23:00,0,0,100,7849,86.13,18.7
6/7/2024 23:15,0,0,100,7846,86.14,18.7
6/7/2024 23:30,0,0,100,7846,86.13,18.7
6/7/2024 23:45,0,0,100,7847,86.14,18.6
6/8/2024 0:00,0,0,100,7846,86.13,18.7
6/8/2024 0:15,0,0,100,7830,86.12,18.8
6/8/2024 0:30,0,0,100,7836,86.11,18.8
6/8/2024 0:45,0,0,100,7836,86.12,18.7
6/8/2024 1:00,0,0,100,7839,86.11,18.7
6/8/2024 1:15,0,0,100,7836,86.11,18.7
6/8/2024 1:30,0,0,100,7838,86.09,18.7
6/8/2024 1:45,0,0,100,7835,86.08,18.7
6/8/2024 2:00,0,0,100,7837,86.07,18.7
6/8/2024 2:15,0,0,100,7836,86.05,18.7
6/8/2024 2:30,0,0,100,7839,86.05,18.6
6/8/2024 2:45,0,0,100,7838,86.06,18.6
6/8/2024 3:00,0,0,100,7837,86.05,18.5
6/8/2024 3:15,0,0,100,7838,86.05,18.5
6/8/2024 3:30,0,0,100,7834,86.04,18.4
6/8/2024 3:45,0,0,100,7839,86.06,18.4
6/8/2024 4:00,0,0,100,7841,86.06,18.4
6/8/2024 4:15,0,0,100,7837,86.06,18.4
6/8/2024 4:30,0,0,100,7837,86.07,18.4
6/8/2024 4:45,0,0,100,7839,86.08,18.4
6/8/2024 5:00,0,0,100,7837,86.1,18.4
6/8/2024 5:15,0,0,100,7838,86.1,18.4
6/8/2024 5:30,0,0,100,7836,86.1,18.4
6/8/2024 5:45,0,0,100,7836,86.1,18.4
6/8/2024 6:00,0,0,100,7836,86.1,18.4
6/8/2024 6:15,0,0,100,7836,86.12,18.4
6/8/2024 6:30,0,0,100,7835,86.14,18.4
6/8/2024 6:45,0,0,100,7833,86.15,18.4
6/8/2024 7:00,0,0,100,7836,86.16,18.4
6/8/2024 7:15,0,0,100,7836,86.18,18.5
6/8/2024 7:30,0,0,100,7839,86.19,18.6
6/8/2024 7:45,0,0,100,7836,86.2,18.8
6/8/2024 8:00,0,0,100,7837,86.21,19
6/8/2024 8:15,0,0,100,7836,86.22,19.2
6/8/2024 8:30,0,0,100,7839,86.23,19.4
