ZL.ID,MC.ID,Location,Port,Station,Instrument,Note
z6-15947,FB2_MC2,FB2,6,S4,LWS,
z6-15993,FB2_MC3,FB2,1,S3,PYR,
z6-15993,FB2_MC3,FB2,2,S3,A22,
z6-15993,FB2_MC3,FB2,3,S3,A14,
z6-15993,FB2_MC3,FB2,4,S3,LWS,
z6-15993,FB2_MC3,FB2,5,NA,,
z6-15993,FB2_MC3,FB2,6,S4,A22,
z6-16027,FB3_MC1,FB3,1,S1,PYR,
z6-16027,FB3_MC1,FB3,2,S1,A22,
z6-16027,FB3_MC1,FB3,3,S1,A14,
z6-16027,FB3_MC1,FB3,4,S1,LWS,
z6-16027,FB3_MC1,FB3,5,S4,A14,
z6-16027,FB3_MC1,FB3,6,S4,PYR,
z6-15951,FB3_MC2,FB3,1,S2,PYR,
z6-15951,FB3_MC2,FB3,2,NA,,
z6-15951,FB3_MC2,FB3,3,S2,A14,
z6-15951,FB3_MC2,FB3,4,S2,LWS,
z6-15951,FB3_MC2,FB3,5,NA,,
z6-15951,FB3_MC2,FB3,6,NA,,
z6-15975,FB3_MC3,FB3,1,S3,PYR,
z6-15975,FB3_MC3,FB3,2,S4,A22,
z6-15975,FB3_MC3,FB3,3,S3,A14,
z6-15975,FB3_MC3,FB3,4,S3,LWS,
z6-15975,FB3_MC3,FB3,5,NA,,
z6-15975,FB3_MC3,FB3,6,S4,LWS,
z6-15944,FB4_MC1,FB4,1,S1,PYR,
z6-15944,FB4_MC1,FB4,2,S2,PYR,
z6-15944,FB4_MC1,FB4,3,S1,A14,
z6-15944,FB4_MC1,FB4,4,S1,LWS,
z6-15944,FB4_MC1,FB4,5,S2,A14,
z6-15944,FB4_MC1,FB4,6,S2,LWS,
z6-15916,FB4_MC2,FB4,1,S3,PYR,
z6-15916,FB4_MC2,FB4,2,S3,A22,
z6-15916,FB4_MC2,FB4,3,S3,A14,
z6-15916,FB4_MC2,FB4,4,S3,LWS,
z6-15916,FB4_MC2,FB4,5,CS,EC5,
z6-15916,FB4_MC2,FB4,6,CS,RT1,
z6-15973,FB4_MC3,FB4,1,S4,PYR,
z6-15973,FB4_MC3,FB4,2,S4,A22,
z6-15973,FB4_MC3,FB4,3,S4,A14,
z6-15973,FB4_MC3,FB4,4,S4,LWS,
z6-15973,FB4_MC3,FB4,5,NA,,
z6-15973,FB4_MC3,FB4,6,NA,,
z6-16028,FB5_MC1,FB5,1,S1,PYR,
z6-16028,FB5_MC1,FB5,2,S1,A22,
z6-16028,FB5_MC1,FB5,3,S1,A14,
z6-16028,FB5_MC1,FB5,4,S1,LWS,
z6-16028,FB5_MC1,FB5,5,S5,LWS,
z6-16028,FB5_MC1,FB5,6,S5,A14,
z6-16011,FB5_MC2,FB5,1,S4,PYR,
z6-16011,FB5_MC2,FB5,2,S4,A22,
z6-16011,FB5_MC2,FB5,3,S4,A14,
z6-16011,FB5_MC2,FB5,4,S4,LWS,
z6-16011,FB5_MC2,FB5,5,NA,,
z6-16011,FB5_MC2,FB5,6,SF,PLV,
z6-15936,FB5_MC3,FB5,1,S3,PYR,
z6-15936,FB5_MC3,FB5,2,S2,PYR,
z6-15936,FB5_MC3,FB5,3,S3,A14,
z6-15936,FB5_MC3,FB5,4,S3,LWS,
z6-15936,FB5_MC3,FB5,5,S2,A14,
z6-15936,FB5_MC3,FB5,6,S2,LWS,
z6-15992,FB6_MC1,FB6,1,S1,PYR,
z6-15992,FB6_MC1,FB6,2,S4,A22,
z6-15992,FB6_MC1,FB6,3,S1,A14,
z6-15992,FB6_MC1,FB6,4,S1,LWS,
z6-15992,FB6_MC1,FB6,5,CS,EC5,
z6-15992,FB6_MC1,FB6,6,CS,RT1,
z6-15907,FB6_MC2,FB6,1,S2,PYR,
z6-15907,FB6_MC2,FB6,2,S2,A22,
z6-15907,FB6_MC2,FB6,3,S2,A14,
z6-15907,FB6_MC2,FB6,4,S2,LWS,
z6-15907,FB6_MC2,FB6,5,S5,LWS,
z6-15907,FB6_MC2,FB6,6,S5,A14,
z6-16012,FB6_MC3,FB6,1,S4,PYR,
z6-16012,FB6_MC3,FB6,2,S3,PYR,
z6-16012,FB6_MC3,FB6,3,S4,A14,
