Tree,Station,Variable,Start,End,Apply.to.instrument,Apply.to.datalogger,Note
FB7,S4,Wind_speed,6/27/2023 14:00,9/22/2023 0:30,Yes,No,"Sensor out, leading to other datalogger problems"
FB8,S2,Temp,3/3/2023 0:15,3/21/2023 4:30,Yes,No,Sensor out
TV2,S2,Solar,5/23/2023 17:30,5/30/2023 22:30,Yes,Yes,Datalogger out
TV2,S2,Solar,6/24/2023 8:30,7/25/2023 21:00,Yes,Yes,Datalogger out
TV2,S5,LWS_Count,5/10/2023 19:30,9/1/2024 16:45,Yes,No,LWS went haywire and never recovered; couldn't access because of wasps
TV4,S3,Solar,4/13/2023 3:45,5/3/2023 18:00,Yes,Yes,Datalogger out
ETP1,S0,LWS_Count,4/17/2023 20:30,5/4/2023 21:15,Yes,No,Sensor out
FBP2,S0,LWS_Count,5/8/2023 8:00,5/13/2023 17:00,Yes,No,Sensor fritzing
ET2,S2,Wind_speed,12/20/2023 14:45,1/25/2024 3:00,Yes,No,Epicormic branch interfering with wind sensor
ET3,S4,Solar,5/31/2023 7:00,7/26/2023 16:15,Yes,No,Instrument out
ET3,S4,Solar,9/7/2023 0:45,10/24/2023 21:45,Yes,No,Fritzing
ET3,S4,LWS_Count,11/24/2023 16:45,12/29/2023 22:45,Yes,No,Instrument out
ET4,S2,Solar,7/2/2023 0:15,7/20/2023 13:00,Yes,Yes,Datalogger out
ET6,S1,Solar,8/4/2023 0:00,8/18/2023 16:45,Yes,No,Sensor fritzing
ET6,S4,LWS_Count,11/1/2023 22:45,11/17/2023 23:15,Yes,No,Instrument out
ET7,S5,Temp,8/6/2023 2:00,10/19/2023 22:00,Yes,No,Instrument out; long tube ATM14
ET7,S5,Temp,10/26/2023 23:00,12/21/2023 14:15,Yes,No,Instrument out; long tube ATM14
ET7,S5,LWS_Count,10/26/2023 22:45,3/1/2024 11:30,Yes,No,Fritzing; long tube LWS
ET8,S5,Temp,7/23/2023 21:45,8/16/2023 7:30,Yes,No,Instrument out; long tube ATM14
ET8,S4,Wind_speed,8/6/2023 5:30,8/26/2023 9:15,Yes,No,Fritzing
FB5,S5,Temp,8/26/2023 16:15,9/7/2023 0:15,Yes,No,Instrument out; Long tube A14
FB5,S5,Temp,9/14/2023 8:00,9/27/2023 16:00,Yes,No,Instrument out; Long tube A14
FB6,S4,Solar,12/13/2023 17:15,1/10/2024 10:00,Yes,No,Fritzing; solar giving very low values
FB6,S4,LWS_Count,10/27/2023 6:00,11/14/2023 17:00,Yes,No,Leaf out
FB7,S1,Solar,11/9/2023 13:45,11/22/2023 16:15,Yes,Yes,Datalogger out
FB7,S3,Temp,8/17/2023 13:00,9/16/2023 23:30,Yes,No,Instrument blinking in and out
