Tree,Station,Timestamp,Solar,Temp,RH,Atmos_pressure,LW_minutes,LW_minutes_H,LWS_Count,Wind_direction,Wind_speed,Gust_speed,Precip_max,Precipitation
FBP2,S0,2022-07-19T19:45:00Z,0,17.6,0.999,85.98,15,15,551,34,5.78,11.32,0,0
FBP2,S0,2022-07-19T20:00:00Z,0,17.6,0.997,85.99,15,15,602,37,4.47,9.99,0,0
FBP2,S0,2022-07-19T20:15:00Z,0,17.7,0.996,86.02,15,15,624,25,4.88,9.76,0,0
FBP2,S0,2022-07-19T20:30:00Z,0,17.6,1.001,86.02,15,15,633,52,4.13,7.99,0,0
FBP2,S0,2022-07-19T20:45:00Z,0,17.6,0.998,86.02,15,15,636,40,5.11,11.32,0,0
FBP2,S0,2022-07-19T21:00:00Z,0,17.7,0.996,85.99,15,15,632,31,6.27,12.34,1,0.017
FBP2,S0,2022-07-19T21:15:00Z,0,17.8,0.997,85.98,15,15,651,30,4.84,9.4,0,0
FBP2,S0,2022-07-19T21:30:00Z,0,18,0.995,85.98,15,15,658,25,3.7,7.5,0,0
FBP2,S0,2022-07-19T21:45:00Z,0,17.8,1,86,15,15,678,63,4.58,9.66,2,0.068
FBP2,S0,2022-07-19T22:00:00Z,0,17.6,1,86.02,15,15,665,49,3.87,9.79,0,0
FBP2,S0,2022-07-19T22:15:00Z,0,17.6,0.992,86.02,15,15,622,60,4.71,8.97,0,0
FBP2,S0,2022-07-19T22:30:00Z,0,17.6,0.989,86.01,15,15,546,67,5.93,10.85,1,0.017
FBP2,S0,2022-07-19T22:45:00Z,0,17.6,0.984,86.03,15,15,538,54,4.44,8.39,0,0
FBP2,S0,2022-07-19T23:00:00Z,0,17.6,0.979,86.03,15,15,531,56,3.7,8.52,0,0
FBP2,S0,2022-07-19T23:15:00Z,0,17.6,0.972,86.02,15,15,522,53,3.72,11.32,0,0
FBP2,S0,2022-07-19T23:30:00Z,0,17.8,0.964,86.01,15,15,514,50,4.31,9.14,0,0
FBP2,S0,2022-07-19T23:45:00Z,0,18,0.956,86,15,15,490,51,4.83,11.58,0,0
FBP2,S0,2022-07-20T00:00:00Z,0,18,0.955,85.99,15,15,478,53,4.69,9.13,0,0
FBP2,S0,2022-07-20T00:15:00Z,0,17.9,0.959,85.97,15,15,476,60,4.47,7.93,0,0
FBP2,S0,2022-07-20T00:30:00Z,0,17.7,0.972,85.97,15,15,475,59,4.12,9.58,0,0
FBP2,S0,2022-07-20T00:45:00Z,0,17.6,0.983,85.94,15,15,474,38,3.36,7.8,0,0
FBP2,S0,2022-07-20T01:00:00Z,0,17.6,0.985,85.92,15,15,473,52,3.17,7.29,0,0
FBP2,S0,2022-07-20T01:15:00Z,0,17.6,0.986,85.92,15,15,472,74,2.22,6.87,0,0
FBP2,S0,2022-07-20T01:30:00Z,0,17.5,0.993,85.9,15,15,471,49,2.64,5.36,0,0
FBP2,S0,2022-07-20T01:45:00Z,0,17.5,0.993,85.88,15,15,471,18,2.49,5.54,0,0
FBP2,S0,2022-07-20T02:00:00Z,0,17.5,0.995,85.89,15,15,473,38,2.81,7.91,0,0
FBP2,S0,2022-07-20T02:15:00Z,0,17.5,0.999,85.88,15,15,475,53,2.4,6.23,0,0
FBP2,S0,2022-07-20T02:30:00Z,0,17.5,1,85.88,15,15,479,58,2.14,4.76,0,0
FBP2,S0,2022-07-20T02:45:00Z,0,17.5,0.999,85.87,15,15,481,66,2.39,6.41,0,0
FBP2,S0,2022-07-20T03:00:00Z,0,17.6,0.994,85.87,15,15,476,70,2.86,6.04,0,0
FBP2,S0,2022-07-20T03:15:00Z,0,17.6,0.992,85.86,15,15,473,53,2.76,5.26,0,0
FBP2,S0,2022-07-20T03:30:00Z,0,17.7,0.987,85.85,15,15,469,54,3.91,9.42,0,0
FBP2,S0,2022-07-20T03:45:00Z,0,17.7,0.989,85.84,15,15,467,57,3.57,7.62,0,0
FBP2,S0,2022-07-20T04:00:00Z,0,17.8,0.976,85.85,15,15,466,48,3.58,7.65,0,0
FBP2,S0,2022-07-20T04:15:00Z,0,17.6,0.979,85.85,15,15,464,51,2.93,6.19,0,0
FBP2,S0,2022-07-20T04:30:00Z,0,17.4,0.99,85.85,15,15,463,46,3.53,8.67,0,0
FBP2,S0,2022-07-20T04:45:00Z,0,17.5,0.994,85.86,15,15,463,48,3.84,8.14,0,0
FBP2,S0,2022-07-20T05:00:00Z,0,17.6,0.996,85.88,15,15,464,41,4.74,8.79,0,0
FBP2,S0,2022-07-20T05:15:00Z,0,17.6,0.993,85.86,15,15,463,50,4.83,9.56,0,0
FBP2,S0,2022-07-20T05:30:00Z,0.4,17.8,0.984,85.85,15,14,459,60,5.04,9.94,0,0
FBP2,S0,2022-07-20T05:45:00Z,3.2,17.8,0.988,85.86,15,0,458,59,5.98,12.91,0,0
FBP2,S0,2022-07-20T06:00:00Z,8.7,17.7,0.996,85.85,15,13,514,46,5.42,10.36,0,0
FBP2,S0,2022-07-20T06:15:00Z,19.5,17.7,1.003,85.87,15,15,755,48,5.09,11.22,1,0.034
FBP2,S0,2022-07-20T06:30:00Z,24.5,17.7,1.001,85.87,15,15,632,37,5.33,9.61,1,0.051
FBP2,S0,2022-07-20T06:45:00Z,15.3,17.7,0.999,85.87,15,15,655,36,5.73,10.17,0,0
FBP2,S0,2022-07-20T07:00:00Z,6.9,17.8,0.999,85.89,15,15,686,35,5.97,10.97,4.1,0.221
FBP2,S0,2022-07-20T07:15:00Z,14,17.7,1.001,85.92,15,15,645,38,6.07,11.14,2,0.119
FBP2,S0,2022-07-20T07:30:00Z,15.8,17.8,1.001,85.93,15,15,724,32,5.52,9.78,1,0.068
FBP2,S0,2022-07-20T07:45:00Z,30.3,17.9,0.999,85.9,15,15,849,32,6.46,10.99,1,0.017
FBP2,S0,2022-07-20T08:00:00Z,52.1,17.8,1,85.9,15,15,845,29,6.58,12.56,0,0
FBP2,S0,2022-07-20T08:15:00Z,72.1,17.8,1.001,85.92,15,15,607,33,7.01,14.48,1,0.017
FBP2,S0,2022-07-20T08:30:00Z,75.2,17.7,1,85.93,15,15,818,35,5.95,14.29,1,0.034
FBP2,S0,2022-07-20T08:45:00Z,98.1,17.8,1.002,85.92,15,15,607,41,7.01,11.88,1,0.017
FBP2,S0,2022-07-20T09:00:00Z,150.3,17.8,1.001,85.89,15,15,827,28,6.29,10.67,0,0
FBP2,S0,2022-07-20T09:15:00Z,149.9,17.7,1,85.88,15,15,876,33,6.2,10.47,1,0.017
FBP2,S0,2022-07-20T09:30:00Z,180.1,17.8,1,85.87,15,15,1049,35,5.87,11.3,0,0
FBP2,S0,2022-07-20T09:45:00Z,196.7,17.9,0.999,85.88,15,15,839,37,5.82,10.9,0,0
FBP2,S0,2022-07-20T10:00:00Z,234.8,17.9,1.001,85.88,15,15,851,39,5.89,10.43,0,0
FBP2,S0,2022-07-20T10:15:00Z,302.4,17.8,1.001,85.9,15,15,925,38,5.37,10.56,1,0.051
FBP2,S0,2022-07-20T10:30:00Z,290.6,17.7,1,85.9,15,15,850,55,4.71,9.46,0,0
FBP2,S0,2022-07-20T10:45:00Z,326.7,17.7,0.999,85.89,15,15,696,53,5.41,12.59,1,0.017
FBP2,S0,2022-07-20T11:00:00Z,528.8,17.9,0.997,85.89,15,15,758,46,4.66,9.96,0,0
FBP2,S0,2022-07-20T11:15:00Z,423.4,17.9,1.003,85.9,15,15,817,47,4.36,12.9,0,0
FBP2,S0,2022-07-20T11:30:00Z,411.5,18,0.993,85.89,15,15,653,58,4.38,9.14,0,0
FBP2,S0,2022-07-20T11:45:00Z,302,18,0.998,85.9,15,15,564,58,4.26,10.46,0,0
FBP2,S0,2022-07-20T12:00:00Z,244.3,18,0.996,85.9,15,15,546,59,4.66,10.24,0,0
FBP2,S0,2022-07-20T12:15:00Z,250,18,0.999,85.9,15,15,529,48,4.37,9.22,0,0
FBP2,S0,2022-07-20T12:30:00Z,189.4,18.2,0.999,85.88,15,15,850,51,3.13,6.91,0,0
FBP2,S0,2022-07-20T12:45:00Z,148.4,18.2,1,85.87,15,15,981,48,2.99,8.54,0,0
FBP2,S0,2022-07-20T13:00:00Z,147.3,18.3,1,85.87,15,15,920,49,2.92,6.78,2,0.051
FBP2,S0,2022-07-20T13:15:00Z,253.1,18.4,1.004,85.85,15,15,924,58,3.57,8.9,0,0
FBP2,S0,2022-07-20T13:30:00Z,212.4,18.3,0.999,85.86,15,15,926,48,3.75,9.82,0,0
FBP2,S0,2022-07-20T13:45:00Z,324.7,18.3,1,85.83,15,15,868,56,3.5,7.14,0,0
FBP2,S0,2022-07-20T14:00:00Z,263.7,18.5,0.998,85.84,15,15,801,29,3.79,8.26,0,0
FBP2,S0,2022-07-20T14:15:00Z,142.2,18.4,1,85.83,15,15,767,41,3.67,8.28,0,0
FBP2,S0,2022-07-20T14:30:00Z,208.1,18.4,1.002,85.83,15,15,701,29,3.82,8.7,0,0
FBP2,S0,2022-07-20T14:45:00Z,118.3,18.4,0.999,85.82,15,15,707,31,2.9,7.49,0,0
FBP2,S0,2022-07-20T15:00:00Z,245.3,18.3,1.004,85.81,15,15,667,34,3.63,8.76,0,0
FBP2,S0,2022-07-20T15:15:00Z,207.8,18.4,0.999,85.81,15,15,733,33,3.89,8.4,0,0
FBP2,S0,2022-07-20T15:30:00Z,94.2,18.3,0.998,85.81,15,15,947,37,3.68,8.78,1,0.017
FBP2,S0,2022-07-20T15:45:00Z,60.3,18.2,1,85.82,15,15,978,23,3.81,7.19,2,0.17
FBP2,S0,2022-07-20T16:00:00Z,72.9,18.2,0.998,85.83,15,15,1009,45,3.37,8.5,3.1,0.272
FBP2,S0,2022-07-20T16:15:00Z,76.7,18,1.003,85.82,15,15,856,45,3.59,9.77,1,0.102
FBP2,S0,2022-07-20T16:30:00Z,90.7,18,1.002,85.82,15,15,1016,49,3.08,7.23,0,0
FBP2,S0,2022-07-20T16:45:00Z,52.1,18,0.999,85.82,15,15,1013,48,3.8,7.88,1,0.017
FBP2,S0,2022-07-20T17:00:00Z,22.9,18.1,1,85.84,15,15,982,41,4.1,8.38,1,0.017
FBP2,S0,2022-07-20T17:15:00Z,22.5,17.9,1.001,85.87,15,15,940,33,3.83,8.92,1,0.017
FBP2,S0,2022-07-20T17:30:00Z,14,17.8,1,85.88,15,15,975,37,4.03,8.61,0,0
FBP2,S0,2022-07-20T17:45:00Z,9.9,17.9,0.999,85.89,15,15,1042,34,3.94,8.23,1,0.017
FBP2,S0,2022-07-20T18:00:00Z,3.7,18,1,85.89,15,15,944,41,4.11,10.85,1,0.017
FBP2,S0,2022-07-20T18:15:00Z,0.1,18,1.002,85.89,15,15,1051,28,3.6,8.3,0,0
FBP2,S0,2022-07-20T18:30:00Z,0,18,1,85.91,15,15,1071,46,3.89,7.57,0,0
FBP2,S0,2022-07-20T18:45:00Z,0,18,0.999,85.93,15,15,1040,42,2.62,5.81,0,0
FBP2,S0,2022-07-20T19:00:00Z,0,18,0.999,85.94,15,15,1035,37,3.31,9.07,0,0
FBP2,S0,2022-07-20T19:15:00Z,0,18.1,1,85.95,15,15,988,40,3.68,6.97,0,0
FBP2,S0,2022-07-20T19:30:00Z,0,18.2,0.999,85.95,15,15,955,40,3.5,8.11,3.1,0.051
FBP2,S0,2022-07-20T19:45:00Z,0,18.2,1,85.97,15,15,930,27,2.87,6.51,2,0.034
FBP2,S0,2022-07-20T20:00:00Z,0,18.1,1.002,85.99,15,15,928,43,3.37,7.17,2,0.051
FBP2,S0,2022-07-20T20:15:00Z,0,18.1,1,85.99,15,15,1022,34,2.62,5.95,1,0.034
FBP2,S0,2022-07-20T20:30:00Z,0,18.1,1,85.99,15,15,916,25,3.19,7.83,1,0.068
FBP2,S0,2022-07-20T20:45:00Z,0,18.2,0.998,86.01,15,15,1023,45,3.24,7.21,5.1,0.323
FBP2,S0,2022-07-20T21:00:00Z,0,18.2,1,86.04,15,15,817,37,3.24,7.39,6.1,0.17
FBP2,S0,2022-07-20T21:15:00Z,0,18.1,0.999,86.05,15,15,966,49,2.51,6.55,1,0.068
FBP2,S0,2022-07-20T21:30:00Z,0,18,1.001,86.04,15,15,999,28,3.23,7.78,2,0.085
FBP2,S0,2022-07-20T21:45:00Z,0,17.9,1,86.05,15,15,959,37,3.17,6.35,5.1,0.187
FBP2,S0,2022-07-20T22:00:00Z,0,18,0.999,86.06,15,15,842,9,3.01,5.56,14.3,1.072
FBP2,S0,2022-07-20T22:15:00Z,0,18.1,0.999,86.07,15,15,974,8,3.62,7.89,17.3,1.072
FBP2,S0,2022-07-20T22:30:00Z,0,18,1,86.09,15,15,896,27,3.03,5.52,4.1,0.357
FBP2,S0,2022-07-20T22:45:00Z,0,17.9,1,86.07,15,15,849,21,3.17,6.24,1,0.068
FBP2,S0,2022-07-20T23:00:00Z,0,17.8,1.002,86.04,15,15,916,26,3.74,7.18,1,0.051
FBP2,S0,2022-07-20T23:15:00Z,0,17.8,1,86.04,15,15,967,20,2.75,5.09,7.1,0.34
FBP2,S0,2022-07-20T23:30:00Z,0,17.7,1,86.02,15,15,967,21,3.12,6.82,4.1,0.187
FBP2,S0,2022-07-20T23:45:00Z,0,17.6,1.001,86,15,15,1059,33,3.39,7.01,3.1,0.136
FBP2,S0,2022-07-21T00:00:00Z,0,17.7,0.999,85.98,15,15,1045,21,2.97,6.79,1,0.102
FBP2,S0,2022-07-21T00:15:00Z,0,17.6,0.999,85.96,15,15,896,30,3.92,7.15,1,0.034
FBP2,S0,2022-07-21T00:30:00Z,0,17.6,0.999,85.95,15,15,948,30,3.85,6.84,1,0.034
FBP2,S0,2022-07-21T00:45:00Z,0,17.6,1.001,85.94,15,15,950,26,2.77,7.3,1,0.068
FBP2,S0,2022-07-21T01:00:00Z,0,17.6,1,85.94,15,15,1135,24,2.9,6.15,2,0.221
FBP2,S0,2022-07-21T01:15:00Z,0,17.6,1,85.94,15,15,1020,19,2.32,5.07,3.1,0.221
FBP2,S0,2022-07-21T01:30:00Z,0,17.5,1.001,85.93,15,15,989,7,2.94,6.3,4.1,0.323
FBP2,S0,2022-07-21T01:45:00Z,0,17.5,0.998,85.91,15,15,1094,25,2.48,4.3,2,0.17
FBP2,S0,2022-07-21T02:00:00Z,0,17.5,1,85.91,15,15,1111,25,2.7,5.05,2,0.085
FBP2,S0,2022-07-21T02:15:00Z,0,17.5,1,85.89,15,15,1147,4,2.77,6.5,1,0.068
FBP2,S0,2022-07-21T02:30:00Z,0,17.5,1.001,85.88,15,15,975,25,3.46,7.32,4.1,0.289
FBP2,S0,2022-07-21T02:45:00Z,0,17.6,0.999,85.87,15,15,980,28,3.08,5.78,1,0.051
FBP2,S0,2022-07-21T03:00:00Z,0,17.5,1.001,85.86,15,15,1048,29,3.97,7.45,4.1,0.153
FBP2,S0,2022-07-21T03:15:00Z,0,17.4,1.001,85.86,15,15,1036,22,3.98,8.35,1,0.102
FBP2,S0,2022-07-21T03:30:00Z,0,17.4,1,85.86,15,15,1108,35,3.53,7.19,1,0.068
FBP2,S0,2022-07-21T03:45:00Z,0,17.3,1.003,85.84,15,15,1118,21,3.65,8.81,1,0.051
FBP2,S0,2022-07-21T04:00:00Z,0,17.3,1.003,85.83,15,15,930,18,3.07,5.45,1,0.017
FBP2,S0,2022-07-21T04:15:00Z,0,17.4,1,85.81,15,15,1147,24,3.85,7.07,1,0.034
FBP2,S0,2022-07-21T04:30:00Z,0,17.3,1.002,85.8,15,15,1093,23,4.15,8.05,1,0.102
FBP2,S0,2022-07-21T04:45:00Z,0,17.4,0.998,85.79,15,15,1065,9,4.17,7.75,1,0.136
FBP2,S0,2022-07-21T05:00:00Z,0,17.4,1,85.8,15,15,1129,20,4.46,9.66,1,0.085
FBP2,S0,2022-07-21T05:15:00Z,0,17.4,1.001,85.82,15,15,1162,19,3.68,6.6,1,0.102
FBP2,S0,2022-07-21T05:30:00Z,0,17.4,1.001,85.84,15,15,1133,11,3.77,6.94,2,0.238
FBP2,S0,2022-07-21T05:45:00Z,2.7,17.5,0.998,85.87,15,15,1184,25,3.62,8.01,1,0.085
FBP2,S0,2022-07-21T06:00:00Z,8.8,17.5,0.997,85.88,15,15,1137,15,3.65,8.7,1,0.034
FBP2,S0,2022-07-21T06:15:00Z,20.7,17.5,1,85.88,15,15,1010,29,4.39,7.56,2,0.102
FBP2,S0,2022-07-21T06:30:00Z,37.2,17.5,0.999,85.88,15,15,1095,24,5.17,9.55,2,0.136
FBP2,S0,2022-07-21T06:45:00Z,50.9,17.4,1.001,85.88,15,15,871,25,5.37,10.85,1,0.051
FBP2,S0,2022-07-21T07:00:00Z,63.5,17.4,1.002,85.9,15,15,883,20,4.61,11.07,2,0.17
FBP2,S0,2022-07-21T07:15:00Z,57.7,17.4,1.002,85.92,15,15,942,23,5.08,12.74,4.1,0.204
FBP2,S0,2022-07-21T07:30:00Z,75,17.4,1,85.93,15,15,1086,23,4.67,9.96,2,0.102
FBP2,S0,2022-07-21T07:45:00Z,77.3,17.4,1,85.94,15,15,1000,13,4.82,8.19,2,0.17
FBP2,S0,2022-07-21T08:00:00Z,91.5,17.2,1.001,85.94,15,15,993,25,5.03,9.63,2,0.085
FBP2,S0,2022-07-21T08:15:00Z,120.6,17.2,0.999,85.95,15,15,981,27,5.35,10.79,1,0.102
FBP2,S0,2022-07-21T08:30:00Z,106.9,17.1,0.999,85.95,15,15,971,46,5.12,11.31,1,0.017
FBP2,S0,2022-07-21T08:45:00Z,126.5,17.1,1,85.96,15,15,1081,24,4.74,10.51,0,0
FBP2,S0,2022-07-21T09:00:00Z,184.6,17,0.996,85.95,15,15,913,32,5.21,9.77,0,0
FBP2,S0,2022-07-21T09:15:00Z,148.4,17.1,1,85.95,15,15,990,29,5.17,9.4,3.1,0.187
FBP2,S0,2022-07-21T09:30:00Z,198.5,17,1.003,85.95,15,15,875,16,5.23,10.99,1,0.051
FBP2,S0,2022-07-21T09:45:00Z,258.2,17.1,0.999,85.95,15,15,1007,30,4.79,10.51,2,0.034
FBP2,S0,2022-07-21T10:00:00Z,151.5,17.3,0.997,85.97,15,15,922,10,5.32,12.23,2,0.153
FBP2,S0,2022-07-21T10:15:00Z,186.1,17,0.999,85.98,15,15,918,26,4.99,12.47,1,0.034
FBP2,S0,2022-07-21T10:30:00Z,239.6,16.9,1.001,85.98,15,15,641,36,5.55,9.75,1,0.034
FBP2,S0,2022-07-21T10:45:00Z,203.2,16.9,1.001,85.98,15,15,703,41,4.82,9.15,0,0
FBP2,S0,2022-07-21T11:00:00Z,302.6,16.7,1,85.97,15,15,591,26,5.21,9.63,0,0
FBP2,S0,2022-07-21T11:15:00Z,329.3,16.8,1,85.94,15,15,554,29,4.45,8.99,0,0
FBP2,S0,2022-07-21T11:30:00Z,223.1,17.1,1.001,85.94,15,15,793,21,5,11.11,1,0.017
FBP2,S0,2022-07-21T11:45:00Z,334.9,17.1,0.998,85.93,15,15,728,16,5.09,10.93,0,0
FBP2,S0,2022-07-21T12:00:00Z,376.1,17,1.002,85.91,15,15,630,37,5.21,11.53,0,0
FBP2,S0,2022-07-21T12:15:00Z,395.9,17.1,1.003,85.9,15,15,737,45,4.83,11.11,0,0
FBP2,S0,2022-07-21T12:30:00Z,187.8,17.2,1.003,85.9,15,15,611,53,4.45,10.62,1,0.017
FBP2,S0,2022-07-21T12:45:00Z,215.9,17,0.997,85.89,15,15,573,42,4.75,9.06,1,0.017
FBP2,S0,2022-07-21T13:00:00Z,285.3,17,0.999,85.88,15,15,544,46,4.77,10.04,0,0
FBP2,S0,2022-07-21T13:15:00Z,413.5,17,1,85.86,15,15,520,34,4.38,9.05,0,0
FBP2,S0,2022-07-21T13:30:00Z,385.3,17,0.998,85.85,15,15,501,35,4.08,8.67,0,0
FBP2,S0,2022-07-21T13:45:00Z,292.5,17.2,1.002,85.84,15,15,493,45,3.94,7.92,0,0
FBP2,S0,2022-07-21T14:00:00Z,160.1,17.3,0.999,85.83,15,15,498,36,3.74,8.85,0,0
FBP2,S0,2022-07-21T14:15:00Z,146.3,17.2,1.002,85.83,15,15,519,37,4.09,8.3,0,0
FBP2,S0,2022-07-21T14:30:00Z,110.9,17.1,1.001,85.83,15,15,502,22,4.06,8.59,0,0
FBP2,S0,2022-07-21T14:45:00Z,145.7,17.3,0.996,85.83,15,15,486,34,3.9,9.18,0,0
FBP2,S0,2022-07-21T15:00:00Z,32.1,17.2,0.995,85.83,15,15,596,22,3.82,8.94,0,0
FBP2,S0,2022-07-21T15:15:00Z,31.5,17.2,0.998,85.83,15,15,957,19,3.65,9.56,0,0
FBP2,S0,2022-07-21T15:30:00Z,100,17.2,0.992,85.82,15,15,909,36,4.91,10.51,1,0.017
FBP2,S0,2022-07-21T15:45:00Z,92.6,17.3,0.972,85.8,15,15,788,48,3.9,9.56,0,0
FBP2,S0,2022-07-21T16:00:00Z,72.9,17.2,0.984,85.8,15,15,752,37,3.71,7.24,0,0
FBP2,S0,2022-07-21T16:15:00Z,40.1,17.2,0.998,85.8,15,15,693,36,5.13,9.63,0,0
FBP2,S0,2022-07-21T16:30:00Z,51.4,17.1,0.999,85.8,15,15,660,34,5.19,11.05,0,0
FBP2,S0,2022-07-21T16:45:00Z,25.9,17.2,0.99,85.82,15,15,655,45,4.09,10.17,0,0
FBP2,S0,2022-07-21T17:00:00Z,6,17.1,0.996,85.86,15,15,825,41,3.76,8.32,2,0.102
FBP2,S0,2022-07-21T17:15:00Z,8.3,17,1.001,85.87,15,15,806,38,4.8,12.08,2,0.051
FBP2,S0,2022-07-21T17:30:00Z,13.3,16.9,1,85.86,15,15,734,31,5.1,10.79,0,0
FBP2,S0,2022-07-21T17:45:00Z,14.1,16.8,0.997,85.87,15,15,700,25,4.99,9.93,0,0
FBP2,S0,2022-07-21T18:00:00Z,5,16.8,0.992,85.88,15,15,686,32,4.35,7.3,0,0
FBP2,S0,2022-07-21T18:15:00Z,0.5,16.7,0.992,85.87,15,15,679,30,3.45,7.75,0,0
FBP2,S0,2022-07-21T18:30:00Z,0,16.9,0.977,85.89,15,15,662,53,3.72,6.69,0,0
FBP2,S0,2022-07-21T18:45:00Z,0,16.9,0.975,85.9,15,15,646,45,4.11,7.75,0,0
FBP2,S0,2022-07-21T19:00:00Z,0,17,0.967,85.91,15,15,630,56,3.56,6.63,0,0
FBP2,S0,2022-07-21T19:15:00Z,0,17.1,0.954,85.93,15,15,611,48,3.58,6.48,0,0
FBP2,S0,2022-07-21T19:30:00Z,0,17.3,0.938,85.96,15,15,591,67,3.47,6.98,0,0
FBP2,S0,2022-07-21T19:45:00Z,0,17.2,0.944,85.99,15,15,581,81,2.09,4.96,0,0
FBP2,S0,2022-07-21T20:00:00Z,0,17.2,0.937,86,15,15,569,48,2,4.18,0,0
FBP2,S0,2022-07-21T20:15:00Z,0,17.1,0.942,86.02,15,15,559,48,2.1,3.9,0,0
FBP2,S0,2022-07-21T20:30:00Z,0,17.1,0.945,86.04,15,15,550,30,1.57,3.26,0,0
FBP2,S0,2022-07-21T20:45:00Z,0,17,0.952,86.06,15,15,544,44,1.34,2.87,0,0
FBP2,S0,2022-07-21T21:00:00Z,0,17,0.947,86.06,15,15,537,51,1.79,3.54,0,0
FBP2,S0,2022-07-21T21:15:00Z,0,17.2,0.929,86.05,15,15,525,53,1.73,3.1,0,0
FBP2,S0,2022-07-21T21:30:00Z,0,17.1,0.922,86.07,15,15,509,35,2.55,5.44,0,0
FBP2,S0,2022-07-21T21:45:00Z,0,17,0.908,86.08,15,15,491,57,2.87,5.68,0,0
FBP2,S0,2022-07-21T22:00:00Z,0,17.2,0.908,86.09,15,15,479,50,2.63,5.51,0,0
FBP2,S0,2022-07-21T22:15:00Z,0,17.2,0.928,86.1,15,15,472,60,2.18,4.71,0,0
FBP2,S0,2022-07-21T22:30:00Z,0,17.2,0.934,86.11,15,15,486,56,1.97,3.76,0,0
FBP2,S0,2022-07-21T22:45:00Z,0,17.2,0.946,86.11,15,15,541,67,2.16,3.88,0,0
FBP2,S0,2022-07-21T23:00:00Z,0,17.2,0.95,86.1,15,15,712,63,1.89,2.92,0,0
FBP2,S0,2022-07-21T23:15:00Z,0,17.3,0.948,86.08,15,15,754,89,1.71,3.36,0,0
FBP2,S0,2022-07-21T23:30:00Z,0,17.3,0.95,86.08,15,15,741,141,1.15,2.51,0,0
FBP2,S0,2022-07-21T23:45:00Z,0,17.2,0.954,86.06,15,15,740,36,0.8,1.43,0,0
FBP2,S0,2022-07-22T00:00:00Z,0,17.4,0.931,86.05,15,15,716,77,0.84,2.67,0,0
FBP2,S0,2022-07-22T00:15:00Z,0,17.1,0.949,86.03,15,15,700,68,0.87,2.57,0,0
FBP2,S0,2022-07-22T00:30:00Z,0,16.8,0.969,86.02,15,15,739,94,0.98,1.57,0,0
FBP2,S0,2022-07-22T00:45:00Z,0,16.6,0.986,86.02,15,15,742,133,0.69,1.17,1,0.034
FBP2,S0,2022-07-22T01:00:00Z,0,16.6,0.996,86.01,15,15,778,140,0.5,1.22,2,0.119
