Tree,MC,Timestamp,Port3_RH,Port3_Atmos_pressure,Port3_VPD,Port3_Temp,Port1_Solar,Port4_LW_minutes,Port4_LWS_Count,Port4_LW_minutes_H
TV3,MC3,2023-06-01T20:45:00Z,1,85.18,0,18.2,0,15,881,15
TV3,MC3,2023-06-01T21:00:00Z,1.001,85.17,0,18.1,0,15,776,15
TV3,MC3,2023-06-01T21:15:00Z,0.999,85.17,0,18.1,0,15,808,15
TV3,MC3,2023-06-01T21:30:00Z,0.999,85.18,0,18.1,0,15,789,15
TV3,MC3,2023-06-01T21:45:00Z,0.999,85.19,0,18.1,0,15,619,15
TV3,MC3,2023-06-01T22:00:00Z,1,85.2,0,17.9,0,15,647,15
TV3,MC3,2023-06-01T22:15:00Z,1,85.22,0,17.8,0,15,772,15
TV3,MC3,2023-06-01T22:30:00Z,1.001,85.23,0,17.8,0,15,805,15
TV3,MC3,2023-06-01T22:45:00Z,1,85.22,0,17.9,0,15,647,15
TV3,MC3,2023-06-01T23:00:00Z,1.001,85.21,0,17.9,0,15,665,15
TV3,MC3,2023-06-01T23:15:00Z,1,85.2,0,18,0,15,757,15
TV3,MC3,2023-06-01T23:30:00Z,1.001,85.19,0,17.7,0,15,710,15
TV3,MC3,2023-06-01T23:45:00Z,1,85.19,0,17.5,0,15,614,15
TV3,MC3,2023-06-02T00:00:00Z,1,85.18,0,17.4,0,15,681,15
TV3,MC3,2023-06-02T00:15:00Z,1,85.17,0,17.5,0,15,629,15
TV3,MC3,2023-06-02T00:30:00Z,1,85.15,0,17.6,0,15,668,15
TV3,MC3,2023-06-02T00:45:00Z,1,85.14,0,17.7,0,15,702,15
TV3,MC3,2023-06-02T01:00:00Z,1.001,85.12,0,17.7,0,15,704,15
TV3,MC3,2023-06-02T01:15:00Z,1.001,85.1,0,17.7,0,15,714,15
TV3,MC3,2023-06-02T01:30:00Z,1,85.08,0,17.6,0,15,754,15
TV3,MC3,2023-06-02T01:45:00Z,1.001,85.06,0,17.7,0,15,639,15
TV3,MC3,2023-06-02T02:00:00Z,1,85.04,0,17.6,0,15,605,15
TV3,MC3,2023-06-02T02:15:00Z,1.001,85.03,0,17.6,0,15,599,15
TV3,MC3,2023-06-02T02:30:00Z,1,85.01,0,17.6,0,15,600,15
TV3,MC3,2023-06-02T02:45:00Z,0.999,85,0,17.6,0,15,600,15
TV3,MC3,2023-06-02T03:00:00Z,1.001,84.99,0,17.5,0,15,599,15
TV3,MC3,2023-06-02T03:15:00Z,1,84.98,0,17.4,0,15,613,15
TV3,MC3,2023-06-02T03:30:00Z,0.999,84.98,0,17.3,0,15,611,15
TV3,MC3,2023-06-02T03:45:00Z,0.999,84.99,0,17.2,0,15,607,15
TV3,MC3,2023-06-02T04:00:00Z,1,84.99,0,17.2,0,15,609,15
TV3,MC3,2023-06-02T04:15:00Z,1.001,84.99,0,17.1,0,15,613,15
TV3,MC3,2023-06-02T04:30:00Z,1,84.99,0,17.1,0,15,660,15
TV3,MC3,2023-06-02T04:45:00Z,1,84.99,0,17.1,0,15,662,15
TV3,MC3,2023-06-02T05:00:00Z,1,85,0,17.2,0,15,656,15
TV3,MC3,2023-06-02T05:15:00Z,1,85.01,0,17.2,0,15,657,15
TV3,MC3,2023-06-02T05:30:00Z,1,85.02,0,17.2,0,15,662,15
TV3,MC3,2023-06-02T05:45:00Z,0.999,85.03,0,17.3,7.3,15,666,15
TV3,MC3,2023-06-02T06:00:00Z,0.999,85.06,0,17.2,15.7,15,636,15
TV3,MC3,2023-06-02T06:15:00Z,1,85.07,0,17.2,19.6,15,593,15
TV3,MC3,2023-06-02T06:30:00Z,1.001,85.09,0,17.4,22.5,15,590,15
TV3,MC3,2023-06-02T06:45:00Z,1,85.11,0,17.4,15.6,15,590,15
TV3,MC3,2023-06-02T07:00:00Z,1,85.12,0,17.3,10.4,15,774,15
TV3,MC3,2023-06-02T07:15:00Z,1.001,85.13,0,17.2,7.9,15,831,15
TV3,MC3,2023-06-02T07:30:00Z,0.999,85.14,0,17.1,7,15,811,15
TV3,MC3,2023-06-02T07:45:00Z,1,85.14,0,16.9,8.2,15,823,15
TV3,MC3,2023-06-02T08:00:00Z,1,85.14,0,17.2,11,15,816,15
TV3,MC3,2023-06-02T08:15:00Z,1,85.15,0,17.4,13,15,828,15
TV3,MC3,2023-06-02T08:30:00Z,1,85.16,0,17.5,16.8,15,765,15
TV3,MC3,2023-06-02T08:45:00Z,1,85.16,0,17.6,21.1,15,793,15
TV3,MC3,2023-06-02T09:00:00Z,1,85.16,0,17.8,26.9,15,764,15
TV3,MC3,2023-06-02T09:15:00Z,1,85.16,0,17.8,38.1,15,763,15
TV3,MC3,2023-06-02T09:30:00Z,0.999,85.13,0,17.8,57.1,15,745,15
TV3,MC3,2023-06-02T09:45:00Z,1.001,85.12,0,18,83.7,15,649,15
TV3,MC3,2023-06-02T10:00:00Z,0.999,85.1,0,18.2,100.2,15,547,15
TV3,MC3,2023-06-02T10:15:00Z,1,85.09,0,18.4,111,15,533,15
TV3,MC3,2023-06-02T10:30:00Z,1,85.08,0,18.5,128.2,15,529,15
TV3,MC3,2023-06-02T10:45:00Z,1,85.08,0,18.7,165.9,15,513,15
TV3,MC3,2023-06-02T11:00:00Z,0.998,85.09,0,19,185.1,15,503,15
TV3,MC3,2023-06-02T11:15:00Z,1,85.08,0,19.2,211.1,15,497,15
TV3,MC3,2023-06-02T11:30:00Z,1.001,85.08,0,19.7,228,15,484,15
TV3,MC3,2023-06-02T11:45:00Z,0.982,85.07,0.04,20.2,236.4,15,470,15
TV3,MC3,2023-06-02T12:00:00Z,0.948,85.05,0.12,20.4,228.1,15,456,5
TV3,MC3,2023-06-02T12:15:00Z,0.929,85.02,0.17,20.6,226.7,15,455,0
TV3,MC3,2023-06-02T12:30:00Z,0.926,85.01,0.18,20.4,219.9,15,456,0
TV3,MC3,2023-06-02T12:45:00Z,0.94,85,0.14,20.2,208.4,15,455,0
TV3,MC3,2023-06-02T13:00:00Z,0.939,84.98,0.14,20.2,255.8,15,455,0
TV3,MC3,2023-06-02T13:15:00Z,0.939,84.97,0.15,20.5,321.7,15,454,0
TV3,MC3,2023-06-02T13:30:00Z,0.935,84.96,0.15,20.3,154.7,15,455,0
TV3,MC3,2023-06-02T13:45:00Z,0.945,84.95,0.13,19.8,100.9,15,455,0
TV3,MC3,2023-06-02T14:00:00Z,0.953,84.94,0.11,19.6,154,15,455,0
TV3,MC3,2023-06-02T14:15:00Z,0.938,84.91,0.14,20,190.8,15,454,0
TV3,MC3,2023-06-02T14:30:00Z,0.915,84.9,0.21,20.6,227.6,15,454,0
TV3,MC3,2023-06-02T14:45:00Z,0.898,84.88,0.26,21.2,261.5,15,453,0
TV3,MC3,2023-06-02T15:00:00Z,0.874,84.85,0.33,21.8,194.6,15,452,0
TV3,MC3,2023-06-02T15:15:00Z,0.845,84.85,0.41,22.1,343,6,449,0
TV3,MC3,2023-06-02T15:30:00Z,0.838,84.84,0.44,22.4,416.4,9,451,0
TV3,MC3,2023-06-02T15:45:00Z,0.853,84.84,0.38,21.8,252.1,15,452,0
TV3,MC3,2023-06-02T16:00:00Z,0.861,84.85,0.37,21.9,229.8,15,451,0
TV3,MC3,2023-06-02T16:15:00Z,0.865,84.86,0.35,21.8,294.8,15,450,0
TV3,MC3,2023-06-02T16:30:00Z,0.89,84.87,0.28,21.1,138.6,15,453,0
TV3,MC3,2023-06-02T16:45:00Z,0.919,84.88,0.19,20.2,33.3,15,454,0
TV3,MC3,2023-06-02T17:00:00Z,0.932,84.88,0.16,19.9,40.5,15,454,0
TV3,MC3,2023-06-02T17:15:00Z,0.896,84.88,0.25,20.6,97.4,15,453,0
TV3,MC3,2023-06-02T17:30:00Z,0.851,84.88,0.38,21.4,93.8,15,452,0
TV3,MC3,2023-06-02T17:45:00Z,0.857,84.9,0.34,20.4,38.3,15,453,0
TV3,MC3,2023-06-02T18:00:00Z,0.887,84.92,0.25,19.3,7.5,15,454,0
TV3,MC3,2023-06-02T18:15:00Z,0.893,84.94,0.23,18.9,0,15,454,0
TV3,MC3,2023-06-02T18:30:00Z,0.888,84.95,0.24,18.7,0,15,454,0
TV3,MC3,2023-06-02T18:45:00Z,0.873,84.96,0.27,18.6,0,15,454,0
TV3,MC3,2023-06-02T19:00:00Z,0.869,84.98,0.28,18.6,0,15,454,0
TV3,MC3,2023-06-02T19:15:00Z,0.868,85,0.28,18.6,0,15,454,0
TV3,MC3,2023-06-02T19:30:00Z,0.861,85.02,0.3,18.6,0,15,453,0
TV3,MC3,2023-06-02T19:45:00Z,0.858,85.01,0.31,18.8,0,15,453,0
TV3,MC3,2023-06-02T20:00:00Z,0.867,85,0.29,18.6,0,15,454,0
