Tree,MC,Timestamp,Port3_Atmos_pressure,Port3_RH,Port3_VPD,Port3_Temp,Port1_Solar,Port4_LW_minutes_H,Port4_LWS_Count,Port4_LW_minutes
FB3,MC2,2023-06-01T20:00:00Z,85.89,0.99,0.02,18.5,0,15,544,15
FB3,MC2,2023-06-01T20:15:00Z,85.89,0.993,0.02,18.4,0,15,563,15
FB3,MC2,2023-06-01T20:30:00Z,85.91,0.993,0.01,18.4,0,15,577,15
FB3,MC2,2023-06-01T20:45:00Z,85.93,0.995,0.01,18.4,0,15,609,15
FB3,MC2,2023-06-01T21:00:00Z,85.93,0.995,0.01,18.3,0,15,618,15
FB3,MC2,2023-06-01T21:15:00Z,85.92,0.997,0.01,18.4,0,15,610,15
FB3,MC2,2023-06-01T21:30:00Z,85.94,0.996,0.01,18.4,0,15,671,15
FB3,MC2,2023-06-01T21:45:00Z,85.95,0.997,0.01,18.2,0,15,877,15
FB3,MC2,2023-06-01T22:00:00Z,85.95,0.997,0.01,18.1,0,15,615,15
FB3,MC2,2023-06-01T22:15:00Z,85.97,0.998,0,18,0,15,579,15
FB3,MC2,2023-06-01T22:30:00Z,85.96,1,0,18,0,15,626,15
FB3,MC2,2023-06-01T22:45:00Z,85.95,1,0,18,0,15,600,15
FB3,MC2,2023-06-01T23:00:00Z,85.94,1,0,18.1,0,15,590,15
FB3,MC2,2023-06-01T23:15:00Z,85.93,0.999,0,18.2,0,15,588,15
FB3,MC2,2023-06-01T23:30:00Z,85.91,1,0,17.8,0,15,579,15
FB3,MC2,2023-06-01T23:45:00Z,85.91,1,0,17.7,0,15,563,15
FB3,MC2,2023-06-02T00:00:00Z,85.91,1.002,0,17.5,0,15,558,15
FB3,MC2,2023-06-02T00:15:00Z,85.9,1,0,17.8,0,15,562,15
FB3,MC2,2023-06-02T00:30:00Z,85.88,1,0,17.8,0,15,559,15
FB3,MC2,2023-06-02T00:45:00Z,85.86,1,0,18,0,15,563,15
FB3,MC2,2023-06-02T01:00:00Z,85.85,1,0,17.9,0,15,556,15
FB3,MC2,2023-06-02T01:15:00Z,85.81,0.999,0,17.8,0,15,564,15
FB3,MC2,2023-06-02T01:30:00Z,85.78,1,0,17.8,0,15,564,15
FB3,MC2,2023-06-02T01:45:00Z,85.77,0.999,0,17.9,0,15,562,15
FB3,MC2,2023-06-02T02:00:00Z,85.75,1,0,17.8,0,15,559,15
FB3,MC2,2023-06-02T02:15:00Z,85.74,1.001,0,17.8,0,15,555,15
FB3,MC2,2023-06-02T02:30:00Z,85.73,1,0,17.8,0,15,553,15
FB3,MC2,2023-06-02T02:45:00Z,85.73,1.001,0,17.7,0,15,548,15
FB3,MC2,2023-06-02T03:00:00Z,85.72,1,0,17.7,0,15,545,15
FB3,MC2,2023-06-02T03:15:00Z,85.72,1,0,17.6,0,15,540,15
FB3,MC2,2023-06-02T03:30:00Z,85.71,1,0,17.5,0,15,529,15
FB3,MC2,2023-06-02T03:45:00Z,85.71,1,0,17.4,0,15,531,15
FB3,MC2,2023-06-02T04:00:00Z,85.72,1,0,17.4,0,15,518,15
FB3,MC2,2023-06-02T04:15:00Z,85.73,1.001,0,17.4,0,15,497,15
FB3,MC2,2023-06-02T04:30:00Z,85.72,1,0,17.5,0,15,478,15
FB3,MC2,2023-06-02T04:45:00Z,85.72,1,0,17.6,0,15,468,15
FB3,MC2,2023-06-02T05:00:00Z,85.74,1,0,17.8,0,15,467,15
FB3,MC2,2023-06-02T05:15:00Z,85.75,0.999,0,17.8,0,15,490,15
FB3,MC2,2023-06-02T05:30:00Z,85.75,1,0,17.8,0,15,488,15
FB3,MC2,2023-06-02T05:45:00Z,85.77,0.999,0,17.8,4.8,15,485,15
FB3,MC2,2023-06-02T06:00:00Z,85.79,1,0,17.8,10.6,15,478,15
FB3,MC2,2023-06-02T06:15:00Z,85.81,0.997,0.01,17.8,15.9,15,476,15
FB3,MC2,2023-06-02T06:30:00Z,85.83,0.992,0.02,17.9,17.2,15,472,15
FB3,MC2,2023-06-02T06:45:00Z,85.85,0.989,0.02,17.9,13.5,15,468,15
FB3,MC2,2023-06-02T07:00:00Z,85.86,0.985,0.03,17.9,9.7,15,552,15
FB3,MC2,2023-06-02T07:15:00Z,85.87,0.984,0.03,17.7,7.5,15,907,15
FB3,MC2,2023-06-02T07:30:00Z,85.87,0.984,0.03,17.5,6.6,15,922,15
FB3,MC2,2023-06-02T07:45:00Z,85.87,0.983,0.03,17.6,7.3,15,884,15
FB3,MC2,2023-06-02T08:00:00Z,85.87,0.98,0.04,17.8,9.3,15,750,15
FB3,MC2,2023-06-02T08:15:00Z,85.88,0.975,0.05,17.9,11.2,15,701,15
FB3,MC2,2023-06-02T08:30:00Z,85.89,0.972,0.06,18.2,13.5,15,719,15
FB3,MC2,2023-06-02T08:45:00Z,85.9,0.972,0.06,18.2,16.8,15,619,15
FB3,MC2,2023-06-02T09:00:00Z,85.9,0.974,0.05,18.2,20.3,15,637,15
FB3,MC2,2023-06-02T09:15:00Z,85.89,0.977,0.05,18.3,27.5,15,615,15
FB3,MC2,2023-06-02T09:30:00Z,85.87,0.976,0.05,18.4,39.2,15,568,15
FB3,MC2,2023-06-02T09:45:00Z,85.86,0.971,0.06,18.7,58.6,15,540,15
FB3,MC2,2023-06-02T10:00:00Z,85.84,0.954,0.1,19.1,65.7,15,493,15
FB3,MC2,2023-06-02T10:15:00Z,85.83,0.945,0.12,19.2,72.5,15,462,15
FB3,MC2,2023-06-02T10:30:00Z,85.83,0.945,0.12,19.3,93.8,15,463,15
FB3,MC2,2023-06-02T10:45:00Z,85.84,0.953,0.11,19.3,125.4,15,460,15
FB3,MC2,2023-06-02T11:00:00Z,85.84,0.962,0.08,19.3,144.7,14,459,15
FB3,MC2,2023-06-02T11:15:00Z,85.83,0.957,0.1,19.7,184.2,0,457,15
FB3,MC2,2023-06-02T11:30:00Z,85.82,0.932,0.16,20.3,197.6,0,457,15
FB3,MC2,2023-06-02T11:45:00Z,85.81,0.913,0.21,20.6,187.7,0,455,15
FB3,MC2,2023-06-02T12:00:00Z,85.79,0.893,0.26,20.6,193.2,0,455,15
FB3,MC2,2023-06-02T12:15:00Z,85.77,0.894,0.26,20.8,198.5,0,455,15
FB3,MC2,2023-06-02T12:30:00Z,85.76,0.895,0.26,21.1,172.3,0,455,15
FB3,MC2,2023-06-02T12:45:00Z,85.75,0.906,0.23,20.4,186,0,456,15
FB3,MC2,2023-06-02T13:00:00Z,85.73,0.905,0.24,21,207.6,0,454,15
FB3,MC2,2023-06-02T13:15:00Z,85.72,0.905,0.23,20.7,184.9,0,455,15
FB3,MC2,2023-06-02T13:30:00Z,85.7,0.911,0.21,20.1,121.6,0,457,15
FB3,MC2,2023-06-02T13:45:00Z,85.69,0.928,0.16,19.5,106.8,0,457,15
FB3,MC2,2023-06-02T14:00:00Z,85.67,0.932,0.15,19.5,102.2,0,456,15
FB3,MC2,2023-06-02T14:15:00Z,85.65,0.917,0.19,20,128.5,0,455,15
FB3,MC2,2023-06-02T14:30:00Z,85.65,0.896,0.25,20.6,134,0,454,15
FB3,MC2,2023-06-02T14:45:00Z,85.62,0.88,0.3,21.2,195,0,452,15
FB3,MC2,2023-06-02T15:00:00Z,85.6,0.86,0.37,22.1,456.8,0,449,9
FB3,MC2,2023-06-02T15:15:00Z,85.59,0.826,0.48,22.7,534.7,0,452,9
FB3,MC2,2023-06-02T15:30:00Z,85.58,0.821,0.48,22.2,251.2,0,451,15
FB3,MC2,2023-06-02T15:45:00Z,85.58,0.819,0.48,22.2,202,0,451,15
FB3,MC2,2023-06-02T16:00:00Z,85.59,0.823,0.47,22,195.9,0,451,15
FB3,MC2,2023-06-02T16:15:00Z,85.6,0.852,0.38,21.4,222.1,0,453,15
FB3,MC2,2023-06-02T16:30:00Z,85.61,0.863,0.34,20.9,65.6,0,455,15
FB3,MC2,2023-06-02T16:45:00Z,85.62,0.898,0.24,20.3,25.6,0,457,15
FB3,MC2,2023-06-02T17:00:00Z,85.62,0.919,0.19,20,26.2,0,456,15
FB3,MC2,2023-06-02T17:15:00Z,85.62,0.895,0.25,20.6,26.7,0,456,15
FB3,MC2,2023-06-02T17:30:00Z,85.63,0.868,0.32,20.6,17.8,0,455,15
FB3,MC2,2023-06-02T17:45:00Z,85.65,0.866,0.32,20.1,10.8,0,456,15
FB3,MC2,2023-06-02T18:00:00Z,85.67,0.87,0.3,19.7,3.8,0,456,15
FB3,MC2,2023-06-02T18:15:00Z,85.68,0.873,0.29,19.5,0,0,456,15
FB3,MC2,2023-06-02T18:30:00Z,85.69,0.863,0.31,19.4,0,0,455,15
FB3,MC2,2023-06-02T18:45:00Z,85.71,0.845,0.35,19.4,0,0,455,15
FB3,MC2,2023-06-02T19:00:00Z,85.73,0.845,0.35,19.2,0,0,455,15
FB3,MC2,2023-06-02T19:15:00Z,85.75,0.835,0.37,19.3,0,0,455,15
FB3,MC2,2023-06-02T19:30:00Z,85.75,0.839,0.36,19.5,0,0,455,15
FB3,MC2,2023-06-02T19:45:00Z,85.74,0.854,0.32,19,0,0,455,15
FB3,MC2,2023-06-02T20:00:00Z,85.74,0.856,0.32,19,0,0,455,15
FB3,MC2,2023-06-02T20:15:00Z,85.75,0.861,0.3,19,0,0,456,15
FB3,MC2,2023-06-02T20:30:00Z,85.75,0.876,0.27,18.8,0,0,457,15
FB3,MC2,2023-06-02T20:45:00Z,85.76,0.896,0.22,18.5,0,0,458,15
FB3,MC2,2023-06-02T21:00:00Z,85.76,0.911,0.19,18.4,0,0,459,15
FB3,MC2,2023-06-02T21:15:00Z,85.78,0.92,0.17,18.4,0,0,459,15
FB3,MC2,2023-06-02T21:30:00Z,85.79,0.919,0.17,18.3,0,0,459,15
