Tree,MC,Timestamp,Port3_VPD,Port3_RH,Port3_Atmos_pressure,Port3_Temp,Port1_Solar,Port4_LWS_Count,Port4_LW_minutes,Port4_LW_minutes_H,Port5_EpiMoisture,Port6_EpiTemp
FB2,MC1,2023-06-02T18:30:00Z,0.2,0.911,85.9,19.3,0,453,15,0,0.107,19.1
FB2,MC1,2023-06-02T18:45:00Z,0.24,0.894,85.92,19.2,0,453,15,0,0.106,18.9
FB2,MC1,2023-06-02T19:00:00Z,0.24,0.89,85.94,19.1,0,453,15,0,0.106,18.7
FB2,MC1,2023-06-02T19:15:00Z,0.26,0.884,85.96,19.1,0,452,15,0,0.106,18.5
FB2,MC1,2023-06-02T19:30:00Z,0.24,0.891,85.97,19,0,453,15,0,0.105,18.2
FB2,MC1,2023-06-02T19:45:00Z,0.19,0.91,85.96,18.7,0,453,15,0,0.105,18
FB2,MC1,2023-06-02T20:00:00Z,0.22,0.899,85.96,18.9,0,453,15,0,0.104,17.9
FB2,MC1,2023-06-02T20:15:00Z,0.23,0.896,85.96,19,0,453,15,0,0.104,17.8
FB2,MC1,2023-06-02T20:30:00Z,0.19,0.912,85.96,18.8,0,453,15,0,0.104,17.8
FB2,MC1,2023-06-02T20:45:00Z,0.13,0.937,85.98,18.4,0,453,15,0,0.103,17.7
FB2,MC1,2023-06-02T21:00:00Z,0.1,0.954,85.98,18.4,0,454,15,0,0.103,17.6
FB2,MC1,2023-06-02T21:15:00Z,0.07,0.966,85.99,18.3,0,454,15,0,0.103,17.6
FB2,MC1,2023-06-02T21:30:00Z,0.07,0.966,86,18.3,0,454,15,0,0.103,17.6
FB2,MC1,2023-06-02T21:45:00Z,0.07,0.967,86.01,18.4,0,454,15,0,0.103,17.6
FB2,MC1,2023-06-02T22:00:00Z,0.05,0.976,86,18.3,0,454,15,0,0.102,17.6
FB2,MC1,2023-06-02T22:15:00Z,0.02,0.992,86,18.3,0,455,15,0,0.102,17.6
FB2,MC1,2023-06-02T22:30:00Z,0,0.999,86,18.2,0,455,15,0,0.102,17.6
FB2,MC1,2023-06-02T22:45:00Z,0,0.999,86.01,18.2,0,456,15,0,0.102,17.6
FB2,MC1,2023-06-02T23:00:00Z,0,1,86,18,0,455,15,0,0.102,17.6
FB2,MC1,2023-06-02T23:15:00Z,0,0.999,85.98,18,0,455,15,0,0.101,17.6
FB2,MC1,2023-06-02T23:30:00Z,0,1,85.97,17.8,0,455,15,0,0.101,17.6
FB2,MC1,2023-06-02T23:45:00Z,0,1.001,85.97,17.8,0,455,15,0,0.101,17.6
FB2,MC1,2023-06-03T00:00:00Z,0,0.999,85.96,18,0,455,15,0,0.101,17.6
FB2,MC1,2023-06-03T00:15:00Z,0,0.999,85.95,17.9,0,456,15,0,0.101,17.5
FB2,MC1,2023-06-03T00:30:00Z,0,0.999,85.93,17.8,0,455,15,0,0.101,17.5
FB2,MC1,2023-06-03T00:45:00Z,0,1,85.92,17.8,0,455,15,0,0.1,17.5
FB2,MC1,2023-06-03T01:00:00Z,0.01,0.995,85.91,17.8,0,455,15,0,0.1,17.4
FB2,MC1,2023-06-03T01:15:00Z,0.05,0.978,85.9,17.9,0,454,15,0,0.1,17.4
FB2,MC1,2023-06-03T01:30:00Z,0.06,0.97,85.89,17.8,0,454,15,0,0.1,17.3
FB2,MC1,2023-06-03T01:45:00Z,0.08,0.963,85.88,17.9,0,454,15,0,0.1,17.3
FB2,MC1,2023-06-03T02:00:00Z,0.08,0.961,85.87,17.9,0,454,15,0,0.1,17.2
FB2,MC1,2023-06-03T02:15:00Z,0.09,0.956,85.85,18,0,454,15,0,0.1,17.1
FB2,MC1,2023-06-03T02:30:00Z,0.07,0.965,85.84,17.9,0,454,15,0,0.099,17.1
FB2,MC1,2023-06-03T02:45:00Z,0.05,0.974,85.84,17.9,0,454,15,0,0.099,17
FB2,MC1,2023-06-03T03:00:00Z,0.03,0.986,85.83,18,0,455,15,0,0.099,17
FB2,MC1,2023-06-03T03:15:00Z,0.03,0.986,85.85,17.9,0,455,15,0,0.099,17.1
FB2,MC1,2023-06-03T03:30:00Z,0,0.998,85.85,18,0,455,15,0,0.099,17.1
FB2,MC1,2023-06-03T03:45:00Z,0.03,0.986,85.84,17.9,0,454,15,0,0.099,17.1
FB2,MC1,2023-06-03T04:00:00Z,0.06,0.971,85.84,18,0,454,15,0,0.099,17.1
FB2,MC1,2023-06-03T04:15:00Z,0.07,0.967,85.84,18,0,454,15,0,0.098,17.1
FB2,MC1,2023-06-03T04:30:00Z,0.05,0.973,85.84,17.7,0,454,15,0,0.098,17.1
FB2,MC1,2023-06-03T04:45:00Z,0.04,0.98,85.84,17.4,0,454,15,0,0.098,17
FB2,MC1,2023-06-03T05:00:00Z,0.05,0.975,85.84,17.4,0,454,15,0,0.098,17
FB2,MC1,2023-06-03T05:15:00Z,0.05,0.975,85.85,17.4,0,454,15,0,0.097,16.9
FB2,MC1,2023-06-03T05:30:00Z,0.05,0.974,85.85,17.4,0,454,15,0,0.097,16.8
FB2,MC1,2023-06-03T05:45:00Z,0.04,0.978,85.86,17.4,3.1,454,15,0,0.097,16.8
FB2,MC1,2023-06-03T06:00:00Z,0.06,0.973,85.87,17.8,6.8,454,15,0,0.097,16.8
FB2,MC1,2023-06-03T06:15:00Z,0.08,0.963,85.88,18,8.4,454,15,0,0.097,16.8
FB2,MC1,2023-06-03T06:30:00Z,0.09,0.956,85.89,18.5,15.6,454,15,0,0.097,16.9
FB2,MC1,2023-06-03T06:45:00Z,0.13,0.939,85.9,19,16.7,453,15,0,0.097,17
FB2,MC1,2023-06-03T07:00:00Z,0.17,0.926,85.92,19.4,64.1,453,15,0,0.097,17.2
FB2,MC1,2023-06-03T07:15:00Z,0.22,0.906,85.92,20.1,34.6,453,15,0,0.096,17.4
FB2,MC1,2023-06-03T07:30:00Z,0.29,0.881,85.93,20.6,133.3,452,15,0,0.096,17.5
FB2,MC1,2023-06-03T07:45:00Z,0.37,0.852,85.94,21.2,249.6,450,15,0,0.096,17.7
FB2,MC1,2023-06-03T08:00:00Z,0.39,0.845,85.95,21.4,41.7,451,15,0,0.096,17.9
FB2,MC1,2023-06-03T08:15:00Z,0.39,0.848,85.96,21.4,93.8,451,15,0,0.095,18.1
FB2,MC1,2023-06-03T08:30:00Z,0.39,0.85,85.98,21.6,71.6,452,15,0,0.095,18.3
FB2,MC1,2023-06-03T08:45:00Z,0.38,0.851,85.97,21.6,149.2,452,15,0,0.095,18.5
FB2,MC1,2023-06-03T09:00:00Z,0.32,0.872,85.99,21.1,150.7,452,15,0,0.094,18.6
FB2,MC1,2023-06-03T09:15:00Z,0.29,0.885,86,21.2,116.5,452,15,0,0.094,18.7
FB2,MC1,2023-06-03T09:30:00Z,0.31,0.878,86.01,21.6,111.7,452,15,0,0.094,18.9
FB2,MC1,2023-06-03T09:45:00Z,0.31,0.88,86,21.6,87.5,452,15,0,0.093,19
FB2,MC1,2023-06-03T10:00:00Z,0.29,0.889,86.01,21.5,230.3,452,15,0,0.093,19.2
