Tree,MC,Timestamp,Port5_Atmos_pressure,Port5_VPD,Port5_Temp,Port5_RH,Port3_VPD,Port3_Atmos_pressure,Port3_RH,Port3_Temp,Port1_Solar,Port2_Solar,Port4_LWS_Count,Port4_LW_minutes_H,Port4_LW_minutes,Port6_LWS_Count,Port6_LW_minutes,Port6_LW_minutes_H
ET7,MC1,2023-06-01T14:30:00Z,87.76,0.13,20.8,0.948,0.18,87.76,0.927,20.8,33.1,33.1,949,15,15,647,15,15
ET7,MC1,2023-06-01T14:45:00Z,87.71,0.1,20.5,0.958,0.16,87.71,0.934,20.5,86.8,86.8,541,15,15,522,15,15
ET7,MC1,2023-06-01T15:00:00Z,87.68,0.12,21,0.953,0.16,87.68,0.935,21,110.8,109.7,483,15,15,494,15,15
ET7,MC1,2023-06-01T15:15:00Z,87.71,0.15,21.4,0.941,0.19,87.7,0.926,21.4,98.9,103.8,495,15,15,490,15,15
ET7,MC1,2023-06-01T15:30:00Z,87.7,0.12,21.5,0.954,0.17,87.7,0.934,21.5,95.9,88.8,483,15,15,487,15,15
ET7,MC1,2023-06-01T15:45:00Z,87.7,0.2,21.7,0.922,0.24,87.7,0.906,21.6,92.1,74.9,471,15,15,478,15,15
ET7,MC1,2023-06-01T16:00:00Z,87.71,0.23,21.5,0.912,0.26,87.7,0.899,21.5,85.7,69.4,468,15,15,481,15,15
ET7,MC1,2023-06-01T16:15:00Z,87.7,0.23,21.4,0.911,0.25,87.7,0.901,21.4,50.4,43.8,517,15,15,554,15,15
ET7,MC1,2023-06-01T16:30:00Z,87.71,0.17,20.8,0.931,0.21,87.7,0.914,20.8,14.3,14.1,552,15,15,526,15,15
ET7,MC1,2023-06-01T16:45:00Z,87.7,0.15,20.3,0.938,0.18,87.69,0.923,20.3,19.8,20.3,529,15,15,503,15,15
ET7,MC1,2023-06-01T17:00:00Z,87.68,0.15,20.3,0.936,0.18,87.68,0.922,20.2,28.2,28.4,482,15,15,489,15,15
ET7,MC1,2023-06-01T17:15:00Z,87.67,0.12,20.2,0.95,0.16,87.67,0.933,20.1,16.8,17.4,464,15,15,485,15,15
ET7,MC1,2023-06-01T17:30:00Z,87.68,0.15,20.4,0.938,0.18,87.68,0.924,20.3,9.7,9.9,489,15,15,481,15,15
ET7,MC1,2023-06-01T17:45:00Z,87.72,0.13,20.3,0.944,0.17,87.72,0.927,20.3,3.8,4.2,464,15,15,480,15,15
ET7,MC1,2023-06-01T18:00:00Z,87.75,0.12,20.2,0.951,0.15,87.75,0.935,20.2,0,0,475,15,15,479,15,15
ET7,MC1,2023-06-01T18:15:00Z,87.76,0.1,20.1,0.959,0.13,87.76,0.943,19.9,0,0,472,15,15,478,15,15
ET7,MC1,2023-06-01T18:30:00Z,87.76,0.09,19.8,0.963,0.13,87.75,0.943,19.8,0,0,471,15,15,477,15,15
ET7,MC1,2023-06-01T18:45:00Z,87.77,0.11,19.9,0.954,0.15,87.77,0.937,19.9,0,0,466,15,15,475,15,15
ET7,MC1,2023-06-01T19:00:00Z,87.79,0.12,20,0.951,0.16,87.79,0.932,20,0,0,464,15,15,473,15,15
ET7,MC1,2023-06-01T19:15:00Z,87.82,0.12,20,0.948,0.16,87.82,0.932,20,0,0,463,15,15,470,15,15
ET7,MC1,2023-06-01T19:30:00Z,87.83,0.13,20.1,0.947,0.16,87.83,0.93,20,0,0,463,15,15,468,15,15
