Tree,MC,Timestamp,Port3_RH,Port3_Temp,Port3_Atmos_pressure,Port3_VPD,Port5_Temp,Port5_VPD,Port5_RH,Port5_Atmos_pressure,Port1_Solar,Port2_Solar,Port4_LW_minutes,Port4_LWS_Count,Port4_LW_minutes_H,Port6_LW_minutes,Port6_LWS_Count,Port6_LW_minutes_H
FB2,MC2,2023-06-01T09:00:00Z,0.879,19.7,86.17,0.28,19.5,0.24,0.894,86.29,112.1,59.5,15,450,0,15,454,0
FB2,MC2,2023-06-01T09:15:00Z,0.873,20,86.16,0.3,19.8,0.26,0.889,86.28,121.4,70.5,15,450,0,15,454,0
FB2,MC2,2023-06-01T09:30:00Z,0.874,20.3,86.15,0.3,20.1,0.26,0.89,86.27,135.1,81.1,15,450,0,15,454,0
FB2,MC2,2023-06-01T09:45:00Z,0.857,20.7,86.14,0.35,20.4,0.3,0.875,86.26,128.9,79.1,10,450,0,15,453,0
FB2,MC2,2023-06-01T10:00:00Z,0.858,21,86.12,0.35,20.7,0.3,0.875,86.25,133.5,81.5,9,450,0,15,453,0
FB2,MC2,2023-06-01T10:15:00Z,0.848,21.1,86.13,0.38,20.8,0.32,0.869,86.25,141,89.4,3,450,0,15,453,0
FB2,MC2,2023-06-01T10:30:00Z,0.856,21,86.12,0.36,20.7,0.3,0.877,86.24,125.6,80.6,10,450,0,15,453,0
FB2,MC2,2023-06-01T10:45:00Z,0.857,21.3,86.1,0.36,21.1,0.32,0.873,86.23,143,87,5,449,0,15,453,0
FB2,MC2,2023-06-01T11:00:00Z,0.848,21.8,86.09,0.4,21.4,0.34,0.867,86.22,216.6,89,0,449,0,15,453,0
FB2,MC2,2023-06-01T11:15:00Z,0.815,22.8,86.07,0.51,22.1,0.43,0.839,86.2,532.1,107.8,0,447,0,15,452,0
FB2,MC2,2023-06-01T11:30:00Z,0.801,23.3,86.06,0.57,22.6,0.48,0.825,86.19,201.6,94.8,0,448,0,15,452,0
FB2,MC2,2023-06-01T11:45:00Z,0.819,22.2,86.06,0.48,21.7,0.4,0.847,86.19,81.5,55.1,0,449,0,15,453,0
FB2,MC2,2023-06-01T12:00:00Z,0.844,21.9,86.04,0.41,21.8,0.36,0.862,86.17,237.9,88.4,0,449,0,15,453,0
FB2,MC2,2023-06-01T12:15:00Z,0.824,22.5,86.02,0.48,22.2,0.42,0.843,86.14,179.1,98.5,0,449,0,15,452,0
FB2,MC2,2023-06-01T12:30:00Z,0.815,22.6,86,0.51,22.5,0.45,0.833,86.13,101.4,77.6,0,449,0,15,452,0
FB2,MC2,2023-06-01T12:45:00Z,0.829,22.3,85.99,0.46,22.1,0.42,0.842,86.12,72,45.6,0,449,0,15,453,0
FB2,MC2,2023-06-01T13:00:00Z,0.853,21.9,85.97,0.39,21.7,0.33,0.871,86.1,103.6,73.1,0,449,0,15,452,0
FB2,MC2,2023-06-01T13:15:00Z,0.845,21.8,85.97,0.4,21.5,0.35,0.864,86.1,81.7,55.7,0,450,0,15,453,0
FB2,MC2,2023-06-01T13:30:00Z,0.869,21.7,85.97,0.34,21.6,0.3,0.884,86.09,81.1,62.6,5,450,0,15,453,0
FB2,MC2,2023-06-01T13:45:00Z,0.87,22.2,85.94,0.35,22,0.3,0.887,86.07,110.8,93,3,450,0,15,453,0
FB2,MC2,2023-06-01T14:00:00Z,0.88,21.5,85.94,0.31,21.2,0.25,0.9,86.07,37.9,22.9,13,603,5,15,655,6
FB2,MC2,2023-06-01T14:15:00Z,0.926,20.1,85.95,0.17,19.9,0.14,0.94,86.07,24.2,15.4,15,679,15,15,634,15
FB2,MC2,2023-06-01T14:30:00Z,0.957,19.4,85.94,0.1,19.4,0.09,0.96,86.07,20.9,12.8,15,595,15,15,625,15
FB2,MC2,2023-06-01T14:45:00Z,0.966,19.3,85.91,0.08,19.2,0.07,0.97,86.03,66.7,50.4,15,542,15,15,513,15
FB2,MC2,2023-06-01T15:00:00Z,0.965,19.6,85.88,0.08,19.5,0.07,0.971,86,84.6,62.6,15,517,15,15,487,15
FB2,MC2,2023-06-01T15:15:00Z,0.956,20.1,85.89,0.1,19.9,0.09,0.963,86.02,80.7,63.5,15,470,15,15,469,15
FB2,MC2,2023-06-01T15:30:00Z,0.952,20.1,85.89,0.11,20,0.09,0.96,86.01,59.9,43.9,15,464,15,15,461,15
FB2,MC2,2023-06-01T15:45:00Z,0.945,19.9,85.9,0.13,19.8,0.11,0.951,86.02,39.9,30.2,15,460,15,15,458,3
FB2,MC2,2023-06-01T16:00:00Z,0.947,19.9,85.89,0.12,19.8,0.11,0.953,86.01,46.1,34.4,15,597,15,15,601,2
FB2,MC2,2023-06-01T16:15:00Z,0.955,19.4,85.89,0.1,19.2,0.08,0.962,86.01,17.2,11.5,15,621,15,15,633,15
FB2,MC2,2023-06-01T16:30:00Z,0.974,18.9,85.89,0.06,18.8,0.05,0.978,86.02,20.3,12.1,15,605,15,15,546,15
FB2,MC2,2023-06-01T16:45:00Z,0.978,18.7,85.89,0.05,18.6,0.04,0.981,86.01,24.9,17,15,597,15,15,529,15
FB2,MC2,2023-06-01T17:00:00Z,0.981,18.7,85.88,0.04,18.7,0.04,0.983,86,21.6,15.7,15,546,15,15,545,15
FB2,MC2,2023-06-01T17:15:00Z,0.98,18.8,85.87,0.04,18.8,0.03,0.984,85.99,13.5,9.5,15,546,15,15,534,15
FB2,MC2,2023-06-01T17:30:00Z,0.982,18.8,85.89,0.04,18.8,0.03,0.984,86.01,8.8,5.7,15,507,15,15,526,15
FB2,MC2,2023-06-01T17:45:00Z,0.985,18.8,85.92,0.03,18.8,0.03,0.986,86.04,1.3,0,15,513,15,15,521,15
FB2,MC2,2023-06-01T18:00:00Z,0.987,18.8,85.94,0.03,18.7,0.02,0.99,86.06,0,0,15,494,15,15,516,15
FB2,MC2,2023-06-01T18:15:00Z,0.982,18.6,85.94,0.04,18.5,0.03,0.987,86.06,0,0,15,482,15,15,512,15
FB2,MC2,2023-06-01T18:30:00Z,0.985,18.5,85.95,0.03,18.5,0.02,0.989,86.07,0,0,15,481,15,15,511,15
FB2,MC2,2023-06-01T18:45:00Z,0.993,18.5,85.97,0.01,18.4,0.01,0.997,86.09,0,0,15,479,15,15,514,15
FB2,MC2,2023-06-01T19:00:00Z,0.998,18.4,86,0.01,18.4,0,1,86.12,0,0,15,502,15,15,512,15
FB2,MC2,2023-06-01T19:15:00Z,0.994,18.4,86.03,0.01,18.3,0,1,86.14,0,0,15,487,15,15,511,15
FB2,MC2,2023-06-01T19:30:00Z,0.99,18.5,86.03,0.02,18.4,0.01,0.994,86.15,0,0,15,486,15,15,510,15
FB2,MC2,2023-06-01T19:45:00Z,0.994,18.5,86.04,0.01,18.5,0.01,0.996,86.16,0,0,15,507,15,15,512,15
FB2,MC2,2023-06-01T20:00:00Z,0.998,18.6,86.05,0,18.5,0,1,86.17,0,0,15,548,15,15,560,15
FB2,MC2,2023-06-01T20:15:00Z,1.001,18.5,86.04,0,18.5,0,1,86.16,0,0,15,682,15,15,605,15
FB2,MC2,2023-06-01T20:30:00Z,1,18.5,86.07,0,18.5,0,0.999,86.19,0,0,15,650,15,15,562,15
FB2,MC2,2023-06-01T20:45:00Z,1.001,18.5,86.08,0,18.5,0,0.999,86.2,0,0,15,674,15,15,563,15
FB2,MC2,2023-06-01T21:00:00Z,1,18.4,86.08,0,18.4,0,1,86.2,0,0,15,671,15,15,560,15
FB2,MC2,2023-06-01T21:15:00Z,1,18.4,86.08,0,18.4,0,0.999,86.2,0,0,15,623,15,15,580,15
FB2,MC2,2023-06-01T21:30:00Z,1.001,18.5,86.1,0,18.5,0,0.999,86.22,0,0,15,612,15,15,545,15
FB2,MC2,2023-06-01T21:45:00Z,1,18.4,86.11,0,18.4,0,1,86.23,0,0,15,712,15,15,577,15
FB2,MC2,2023-06-01T22:00:00Z,1.001,18.2,86.12,0,18.2,0,0.999,86.23,0,0,15,615,15,15,557,15
FB2,MC2,2023-06-01T22:15:00Z,1.002,18,86.13,0,18,0,1,86.25,0,0,15,662,15,15,577,15
FB2,MC2,2023-06-01T22:30:00Z,1.001,18.1,86.13,0,18,0,1,86.25,0,0,15,663,15,15,640,15
FB2,MC2,2023-06-01T22:45:00Z,0.999,18.2,86.11,0,18.1,0,1.001,86.23,0,0,15,595,15,15,602,15
FB2,MC2,2023-06-01T23:00:00Z,1.001,18.2,86.11,0,18.2,0,1,86.23,0,0,15,621,15,15,583,15
FB2,MC2,2023-06-01T23:15:00Z,1,18.2,86.09,0,18.2,0,1,86.22,0,0,15,602,15,15,629,15
FB2,MC2,2023-06-01T23:30:00Z,1.001,17.9,86.08,0,17.9,0,1.001,86.2,0,0,15,603,15,15,646,15
FB2,MC2,2023-06-01T23:45:00Z,1,17.8,86.07,0,17.8,0,1,86.19,0,0,15,654,15,15,569,15
FB2,MC2,2023-06-02T00:00:00Z,1,17.6,86.07,0,17.6,0,1.001,86.19,0,0,15,560,15,15,570,15
FB2,MC2,2023-06-02T00:15:00Z,1,17.9,86.06,0,17.8,0,1.001,86.18,0,0,15,561,15,15,578,15
FB2,MC2,2023-06-02T00:30:00Z,0.999,17.9,86.04,0,17.9,0,1,86.16,0,0,15,591,15,15,580,15
FB2,MC2,2023-06-02T00:45:00Z,1,18,86.02,0,18,0,1,86.15,0,0,15,568,15,15,551,15
FB2,MC2,2023-06-02T01:00:00Z,1,18,86.01,0,18,0,1,86.13,0,0,15,548,15,15,554,15
FB2,MC2,2023-06-02T01:15:00Z,1,17.9,85.97,0,17.9,0,1,86.09,0,0,15,548,15,15,551,15
FB2,MC2,2023-06-02T01:30:00Z,1.001,18,85.95,0,17.9,0,1,86.06,0,0,15,564,15,15,558,15
FB2,MC2,2023-06-02T01:45:00Z,0.999,18,85.93,0,18,0,1,86.05,0,0,15,577,15,15,578,15
FB2,MC2,2023-06-02T02:00:00Z,1,18,85.91,0,17.9,0,1,86.03,0,0,15,559,15,15,583,15
