Tree,MC,Timestamp,Port3_VPD,Port3_RH,Port3_Temp,Port3_Atmos_pressure,Port2_ATM22_Yaxis,Port2_Gust_speed,Port2_Wind_speed,Port2_ATM22_temp,Port2_Wind_direction,Port2_ATM22_Xaxis,Port1_Solar,Port4_LW_minutes,Port4_LW_minutes_H,Port4_LWS_Count,Port5_EpiMoisture,Port6_EpiTemp
ET8,MC2,2023-06-01T11:30:00Z,0.5,0.831,23.9,87.87,1.1,2.67,0.36,23.8,332,-1.2,223.9,15,0,451,-0.015,21
ET8,MC2,2023-06-01T11:45:00Z,0.43,0.851,23.6,87.87,1.2,2,0.37,23.6,345,-1.3,96.3,15,0,452,-0.015,21.1
ET8,MC2,2023-06-01T12:00:00Z,0.37,0.869,23,87.85,1.1,0.9,0.31,23.2,355,-1.3,139.9,15,0,451,-0.016,21.1
ET8,MC2,2023-06-01T12:15:00Z,0.33,0.882,23.2,87.83,1.1,0.94,0.34,23.5,60,-1.3,180.5,15,0,451,-0.015,21.2
ET8,MC2,2023-06-01T12:30:00Z,0.36,0.873,23.4,87.81,1.1,0.92,0.33,23.6,68,-1.2,184.8,15,0,451,-0.015,21.4
ET8,MC2,2023-06-01T12:45:00Z,0.35,0.875,23.2,87.79,1.1,0.87,0.35,23.5,68,-1.3,141.9,15,0,452,-0.016,21.5
ET8,MC2,2023-06-01T13:00:00Z,0.34,0.879,23.2,87.78,1.1,0.51,0.19,23.4,11,-1.2,137.1,15,0,452,-0.016,21.6
ET8,MC2,2023-06-01T13:15:00Z,0.34,0.88,23.2,87.77,1.1,1.12,0.32,23.3,17,-1.2,144.3,15,0,452,-0.016,21.6
ET8,MC2,2023-06-01T13:30:00Z,0.28,0.901,22.9,87.77,1.1,0.68,0.24,23.2,18,-1.3,123.6,15,0,452,-0.016,21.7
ET8,MC2,2023-06-01T13:45:00Z,0.25,0.911,23,87.75,1.1,2.71,0.41,23.3,28,-1.2,197,15,0,452,-0.016,21.8
ET8,MC2,2023-06-01T14:00:00Z,0.27,0.902,22.7,87.74,1.1,1.22,0.31,23.1,103,-1.2,61,15,7,887,-0.016,21.9
ET8,MC2,2023-06-01T14:15:00Z,0.21,0.917,21.5,87.75,1.1,1.14,0.2,22.1,290,-1.4,26.4,15,15,1006,-0.015,21.6
